datetime,open,high,low,close,volume
2022-04-05,389.29999,390.0,377.31,380.14999,4234500.0
2022-04-06,374.14999,376.47,362.73001,368.35001,4354900.0
2022-04-07,365.0,368.54001,353.69,362.14999,4948900.0
2022-04-08,361.95999,362.5,354.87,355.88,4025200.0
2022-04-11,350.0,354.78,345.20001,348.0,3777100.0
2022-04-12,355.91,359.41,342.25,344.10001,3824300.0
2022-04-13,343.92001,352.0,341.16,350.42999,3231000.0
2022-04-14,350.95001,352.0,339.85999,341.13,4343800.0
2022-04-18,340.0,342.35999,331.62,337.85999,5105000.0
2022-04-19,333.22,351.67999,333.22,348.60999,20906900.0
2022-04-20,245.2,248.7,212.50999,226.19,133387500.0
2022-04-21,220.0,227.67999,211.52,218.22,53501600.0
2022-04-22,220.17999,226.27,210.050003,215.52,37515100.0
2022-04-25,213.81,216.66,204.50999,209.91,28152000.0
2022-04-26,208.8,209.14999,198.28,198.39999,20318100.0
2022-04-27,194.0099945,200.19,187.77,188.53999,22298400.0
2022-04-28,191.56,201.48,185.60001,199.52,21363200.0
2022-04-29,198.67999,204.71001,190.0,190.36,16391900.0
2022-05-02,191.71001,200.21001,190.0099945,199.46001,14591600.0
2022-05-03,198.28999,203.2,194.77,199.87,11839400.0
2022-05-04,197.64999,204.38,191.0099945,204.0099945,12218800.0
2022-05-05,200.45,200.71001,186.0,188.32001,13971300.0
2022-05-06,186.75,187.21001,175.81,180.97,17185500.0
2022-05-09,177.66,183.2,172.3,173.10001,14031300.0
2022-05-10,176.0099945,181.87,170.57001,177.66,13883900.0
2022-05-11,176.089996,180.92,165.55,166.37,12665500.0
2022-05-12,163.96001,177.58,162.71001,174.31,17662100.0
2022-05-13,177.16,187.77,176.0099945,187.64,13136300.0
2022-05-16,193.3,195.89,185.7,186.50999,16145000.0
2022-05-17,189.17,191.39999,185.17,190.56,9876700.0
2022-05-18,186.72,187.7,176.27,177.19,9665600.0
2022-05-19,178.050003,186.3,175.71001,183.48,10448500.0
2022-05-20,185.87,190.19,179.77,186.35001,10429400.0
2022-05-23,186.14999,187.66,177.89,187.44,9602000.0
2022-05-24,182.0,184.0,177.17,180.34,7706400.0
2022-05-25,180.28,188.87,180.17,187.83,8522100.0
2022-05-26,186.49001,192.34,183.089996,191.39999,8049900.0
2022-05-27,193.19,195.25,190.37,195.19,8586000.0
2022-05-31,196.17999,199.95,190.8,197.44,11398500.0
2022-06-01,198.7,202.74001,191.66,192.91,8416200.0
2022-06-02,192.020004,205.47,191.72,205.089996,9623100.0
2022-06-03,200.14,202.95,198.050003,198.98,7181700.0
2022-06-06,202.089996,203.87,195.38,197.14,5372000.0
2022-06-07,194.87,199.60001,193.0,198.61,4839500.0
2022-06-08,197.95,207.38,197.64,202.83,7244100.0
2022-06-09,200.64999,201.69,192.53999,192.77,6949000.0
2022-06-10,182.64,185.86,180.85001,182.94,13065600.0
2022-06-13,177.070007,179.089996,168.96001,169.69,10222400.0
2022-06-14,169.75,172.059998,164.28,167.53999,11555300.0
2022-06-15,169.25999,183.85001,168.53,180.11,12396000.0
2022-06-16,174.0,176.27,171.56,173.35001,8201300.0
2022-06-17,173.63,179.64999,173.34,175.50999,12112200.0
2022-06-21,177.60001,178.62,169.8,170.91,12177600.0
2022-06-22,170.75,182.82001,170.2,178.89,11992400.0
2022-06-23,180.5,182.75999,175.87,181.71001,9538200.0
2022-06-24,183.5,191.19,181.84,190.85001,12424000.0
2022-06-27,191.77,191.78,182.39,189.14,8363900.0
2022-06-28,189.2,192.2,179.37,179.60001,7185400.0
2022-06-29,179.55,180.67,175.10001,178.36,5766800.0
2022-06-30,177.070007,179.45,170.3,174.87,7894700.0
2022-07-01,176.49001,180.10001,174.27,179.95,5194700.0
2022-07-05,176.28,185.92,172.67999,185.88,7334300.0
2022-07-06,185.2,186.22,180.82001,184.059998,5753400.0
2022-07-07,184.27,190.21001,183.5,189.27,6334500.0
2022-07-08,186.020004,189.91,182.75,186.98,5831300.0
2022-07-11,184.73,184.99001,176.89,177.34,6038800.0
2022-07-12,177.33,179.78,173.42,174.45,6845300.0
2022-07-13,170.5,179.17999,169.7,176.56,12734400.0
2022-07-14,175.56,177.52,171.82001,174.78,9039500.0
2022-07-15,175.58,189.22,174.56,189.11,16215100.0
