Datetime,Close,Open,High,Low,Volume
2023-09-07 04:00:00,46.48,45.92,46.68,45.815,4503948.0
2023-09-08 04:00:00,46.64,46.49,47.165,46.355,4247386.0
2023-09-11 04:00:00,47.57,47.5,47.67,46.945,3859259.0
2023-09-12 04:00:00,46.75,47.06,47.58,46.58,3478825.0
2023-09-13 04:00:00,46.93,46.81,47.28,46.46,4157859.0
2023-09-14 04:00:00,48.08,47.7,48.3037,47.245,3709881.0
2023-09-15 04:00:00,46.32,47.55,47.64,46.19,5798726.0
2023-09-18 04:00:00,46.39,46.19,46.805,46.06,3608282.0
2023-09-19 04:00:00,46.1,46.07,46.265,45.21,4243677.0
2023-09-20 04:00:00,44.73,46.42,46.55,44.67,6931071.0
2023-09-21 04:00:00,42.5,43.79,43.88,42.43,7568310.0
2023-09-22 04:00:00,42.15,42.77,43.26,42.06,6057681.0
2023-09-25 04:00:00,42.7,41.79,42.7,41.66,5498920.0
2023-09-26 04:00:00,40.77,41.74,41.951,40.54,8486946.0
2023-09-27 04:00:00,40.84,41.15,41.29,39.741,10150596.0
2023-09-28 04:00:00,41.5,40.61,41.99,40.4499,9067042.0
2023-09-29 04:00:00,41.17,42.4,42.44,40.72,8824991.0
2023-10-02 04:00:00,41.13,40.91,41.4803,40.3,7607306.0
2023-10-03 04:00:00,39.45,40.43,40.9,39.0301,9954828.0
2023-10-04 04:00:00,40.29,39.5599,40.5,39.14,8363166.0
2023-10-05 04:00:00,40.19,40.16,40.43,39.243,6156017.0
2023-10-06 04:00:00,41.6,39.47,42.055,39.065,9910407.0
2023-10-09 04:00:00,42.37,41.04,42.5755,40.88,6851531.0
2023-10-10 04:00:00,43.02,42.6,43.8301,42.45,8454123.0
2023-10-11 04:00:00,43.57,43.37,43.635,42.63,6531789.0
2023-10-12 04:00:00,42.74,43.72,43.8192,42.0,8857881.0
2023-10-13 04:00:00,42.09,43.15,43.525,41.58,7589955.0
2023-10-16 04:00:00,43.39,42.72,43.695,42.66,7218223.0
2023-10-17 04:00:00,43.35,42.38,43.99,42.3,10480938.0
2023-10-18 04:00:00,41.63,42.8,43.08,41.2721,11206542.0
2023-10-19 04:00:00,40.49,41.76,42.31,40.26,14132790.0
2023-10-20 04:00:00,38.94,40.29,40.47,38.93,10926658.0
2023-10-23 04:00:00,38.75,38.47,39.84,38.008,10577614.0
2023-10-24 04:00:00,39.61,39.32,39.925,38.79,7171357.0
2023-10-25 04:00:00,37.89,39.1,39.11,37.73,9454258.0
2023-10-26 04:00:00,36.49,37.53,37.77,36.22,12198060.0
2023-10-27 04:00:00,35.97,36.9,37.0,35.573,10997155.0
2023-10-30 04:00:00,37.25,36.7,37.525,36.355,10364481.0
2023-10-31 04:00:00,37.92,37.38,38.01,36.8699,10334281.0
2023-11-01 04:00:00,39.13,38.17,39.35,38.035,12363186.0
2023-11-02 04:00:00,41.33,40.2,41.38,40.18,9117723.0
2023-11-03 04:00:00,42.44,42.03,42.9185,41.98,8423295.0
2023-11-06 05:00:00,42.71,42.67,42.875,42.15,7848768.0
2023-11-07 05:00:00,43.07,42.71,43.28,42.37,5876606.0
2023-11-08 05:00:00,43.17,43.25,43.42,42.47,6130896.0
2023-11-09 05:00:00,42.1,43.46,43.49,41.99,8754299.0
2023-11-10 05:00:00,44.06,42.72,44.16,42.27,7508632.0
2023-11-13 05:00:00,43.92,43.65,44.26,43.4,7261890.0
2023-11-14 05:00:00,46.45,45.77,46.87,45.68,8035400.0
2023-11-15 05:00:00,46.75,46.88,47.275,46.48,6232148.0
2023-11-16 05:00:00,46.87,46.55,46.97,46.22,5915093.0
2023-11-17 05:00:00,47.05,46.89,47.23,46.56,6718294.0
2023-11-20 05:00:00,48.09,46.96,48.38,46.94,4865832.0
2023-11-21 05:00:00,47.73,47.71,47.87,47.34,6655808.0
2023-11-22 05:00:00,48.28,48.25,48.69,47.91,4866961.0
2023-11-24 05:00:00,48.32,48.24,48.39,48.15,1565575.0
2023-11-27 05:00:00,48.07,48.09,48.375,47.93,3648303.0
2023-11-28 05:00:00,48.18,47.91,48.6,47.725,4195117.0
2023-11-29 05:00:00,48.04,48.88,49.2373,47.9328,4653851.0
2023-11-30 05:00:00,48.58,48.29,48.69,47.61,6582534.0
2023-12-01 05:00:00,49.4,48.37,49.5991,48.175,8105653.0
2023-12-04 05:00:00,48.65,48.2783,48.72,47.875,8888122.0
2023-12-05 05:00:00,48.59,48.13,48.9,48.04,5196632.0
2023-12-06 05:00:00,47.98,49.27,49.3,47.84,5829781.0
2023-12-07 05:00:00,49.02,48.62,49.23,48.415,4836509.0
2023-12-08 05:00:00,49.65,48.76,49.815,48.69,8643034.0
2023-12-11 05:00:00,50.22,49.46,50.2691,49.39,6045062.0
2023-12-12 05:00:00,50.89,50.08,50.91,49.73,6158127.0
2023-12-13 05:00:00,52.95,51.0,53.06,50.86,10707607.0
2023-12-14 05:00:00,53.42,53.61,54.01,52.5,9662482.0
2023-12-15 05:00:00,53.18,53.19,53.58,52.85,6509262.0
2023-12-18 05:00:00,54.03,53.68,54.36,53.64,4974267.0
2023-12-19 05:00:00,54.97,54.21,55.01,54.19,4704007.0
2023-12-20 05:00:00,52.49,54.54,55.215,52.4297,7698200.0
2023-12-21 05:00:00,53.99,53.54,54.0899,52.69,9222824.0
2023-12-22 05:00:00,54.29,54.37,54.9,53.64,6888474.0
2023-12-26 05:00:00,54.93,54.42,55.275,54.4,2804012.0
2023-12-27 05:00:00,55.23,54.88,55.29,54.69,5438001.0
2023-12-28 05:00:00,55.22,55.29,55.52,55.095,4038360.0
2023-12-29 05:00:00,54.74,55.13,55.32,54.0499,5842531.0
2024-01-02 05:00:00,53.75,53.63,54.13,53.04,6554502.0
2024-01-03 05:00:00,52.45,53.01,53.27,52.2455,7324539.0
2024-01-04 05:00:00,51.9,52.23,53.12,51.8102,5516628.0
2024-01-05 05:00:00,52.1,51.92,52.91,51.59,7855521.0
2024-01-08 05:00:00,54.27,52.23,54.34,52.2,6631117.0
2024-01-09 05:00:00,54.0,53.36,54.385,53.168,10046580.0
2024-01-10 05:00:00,54.93,54.1,55.2205,54.005,5350557.0
2024-01-11 05:00:00,54.79,55.2,55.39,53.36,9994566.0
2024-01-12 05:00:00,54.87,55.26,55.535,54.37,5725119.0
2024-01-16 05:00:00,54.26,54.36,54.825,53.6099,9842046.0
2024-01-17 05:00:00,53.3,53.17,53.49,52.5,5820264.0
2024-01-18 05:00:00,54.68,53.83,54.87,53.315,7184877.0
2024-01-19 05:00:00,56.73,55.06,56.81,54.83,7730552.0
2024-01-22 05:00:00,57.05,57.27,57.68,56.82,8886222.0
2024-01-23 05:00:00,57.52,57.25,57.62,56.84,4304867.0
2024-01-24 05:00:00,57.68,58.54,58.9001,57.57,6123928.0
2024-01-25 05:00:00,58.6,58.43,58.67,57.65,5014368.0
2024-01-26 05:00:00,58.36,58.4,58.95,58.03,9360206.0
2024-01-29 05:00:00,59.72,58.42,59.75,58.23,5933331.0
2024-01-30 05:00:00,59.53,59.42,59.8,59.24,4964584.0
2024-01-31 05:00:00,56.63,58.7,58.855,56.59,13144074.0
2024-02-01 05:00:00,58.77,57.14,58.78,56.87,9111595.0
2024-02-02 05:00:00,60.59,58.92,61.21,58.79,8400184.0
2024-02-05 05:00:00,59.91,60.34,60.51,59.07,9577529.0
2024-02-06 05:00:00,60.4,60.26,60.54,59.71,4856426.0
2024-02-07 05:00:00,61.88,61.24,62.06,60.91,4733157.0
2024-02-08 05:00:00,61.95,61.86,62.07,61.5379,3966917.0
2024-02-09 05:00:00,62.97,62.11,63.1422,61.98,5296020.0
2024-02-12 05:00:00,62.85,62.96,63.81,62.6,4922617.0
2024-02-13 05:00:00,60.28,60.4,60.9101,58.99,8772873.0
2024-02-14 05:00:00,61.87,61.24,62.05,60.35,6358689.0
2024-02-15 05:00:00,63.04,62.06,63.13,61.85,7448726.0
2024-02-16 05:00:00,62.07,62.94,63.36,61.81,6962053.0
2024-02-20 05:00:00,61.03,61.42,61.66,60.18,6453386.0
2024-02-21 05:00:00,61.17,60.51,61.24,59.83,5582036.0
2024-02-22 05:00:00,64.94,63.61,65.2813,63.271,7295854.0
2024-02-23 05:00:00,65.02,65.56,65.91,64.75,5784226.0
2024-02-26 05:00:00,64.3,65.17,65.345,64.25,4177040.0
2024-02-27 05:00:00,64.62,64.55,64.71,63.8,4077307.0
2024-02-28 05:00:00,64.31,63.99,64.5758,63.86,3938092.0
2024-02-29 05:00:00,64.94,64.98,65.59,63.93,6850363.0
2024-03-01 05:00:00,66.77,65.29,66.9477,65.135,6461992.0
2024-03-04 05:00:00,66.51,66.42,67.28,66.42,3643315.0
2024-03-05 05:00:00,64.49,65.71,65.885,63.63,6021517.0
2024-03-06 05:00:00,65.49,65.79,66.36,64.97,6771906.0
2024-03-07 05:00:00,67.39,66.69,67.78,66.344,5955911.0
2024-03-08 05:00:00,66.14,67.62,68.6872,65.885,11477562.0
2024-03-11 04:00:00,65.92,65.6,66.14,64.84,8913406.0
2024-03-12 04:00:00,68.03,66.74,68.25,65.73,8326623.0
2024-03-13 04:00:00,67.67,68.12,68.2,67.1,5123420.0
2024-03-14 04:00:00,67.2,68.02,68.0613,65.975,6770764.0
2024-03-15 04:00:00,65.74,65.97,66.53,65.2201,6360037.0
2024-03-18 04:00:00,66.92,67.36,67.95,66.74,9732406.0
2024-03-19 04:00:00,68.04,66.67,68.14,66.25,5571691.0
2024-03-20 04:00:00,69.75,67.94,69.83,67.64,5926970.0
2024-03-21 04:00:00,70.34,70.88,71.16,70.285,5468557.0
2024-03-22 04:00:00,70.01,70.33,70.54,69.88,3529016.0
2024-03-25 04:00:00,69.42,69.38,69.835,69.3,8511164.0
2024-03-26 04:00:00,68.84,69.94,70.07,68.77,7742131.0
2024-03-27 04:00:00,70.59,70.03,70.61,69.13,5110610.0
2024-03-28 04:00:00,70.55,70.59,71.1482,70.43,3904294.0
2024-04-01 04:00:00,70.19,70.81,71.03,69.65,8047701.0
2024-04-02 04:00:00,68.77,68.53,68.82,67.82,5248698.0
2024-04-03 04:00:00,68.97,68.31,69.5801,68.275,5570815.0
2024-04-04 04:00:00,66.34,70.54,70.68,66.25,7966894.0
2024-04-05 04:00:00,68.4,66.9,69.21,66.72,8073697.0
2024-04-08 04:00:00,68.46,68.7,69.1,68.1912,8048680.0
2024-04-09 04:00:00,68.7,69.2,69.29,66.77,5650289.0
2024-04-10 04:00:00,66.68,66.38,67.45,65.842,8940603.0
2024-04-11 04:00:00,68.1,67.17,68.655,65.785,6507875.0
2024-04-12 04:00:00,65.2,66.62,67.19,64.54,7446194.0
2024-04-15 04:00:00,62.77,66.85,66.9187,62.43,9206194.0
2024-04-16 04:00:00,62.37,62.92,63.5,61.9,8826628.0
2024-04-17 04:00:00,61.26,63.3,63.36,60.73,9682421.0
2024-04-18 04:00:00,60.78,61.73,62.52,60.465,9430693.0
2024-04-19 04:00:00,59.16,60.76,61.13,58.74,8056192.0
2024-04-22 04:00:00,60.75,60.15,61.7774,59.28,7134599.0
2024-04-23 04:00:00,62.93,61.56,63.12,61.36,6310995.0
2024-04-24 04:00:00,62.88,63.29,63.56,62.0,5805027.0
2024-04-25 04:00:00,62.03,60.43,62.35,59.84,7454136.0
2024-04-26 04:00:00,63.82,63.1,64.41,62.8701,4979828.0
2024-04-29 04:00:00,64.44,64.5,64.72,63.41,3580146.0
2024-04-30 04:00:00,61.4,63.84,64.25,61.39,5121798.0
2024-05-01 04:00:00,60.7,61.13,63.63,60.58,8514538.0
2024-05-02 04:00:00,62.37,62.09,62.7,60.39,4893242.0
2024-05-03 04:00:00,64.69,64.66,65.17,63.69,5392760.0
2024-05-06 04:00:00,66.69,65.63,66.69,65.45,3542669.0
2024-05-07 04:00:00,66.89,67.05,67.44,66.615,3943098.0
2024-05-08 04:00:00,66.86,66.12,67.08,66.08,2135004.0
2024-05-09 04:00:00,67.94,66.89,67.975,66.6107,2883166.0
2024-05-10 04:00:00,68.23,68.58,68.9197,67.7201,3417599.0
2024-05-13 04:00:00,68.19,68.86,68.89,67.74,2336733.0
2024-05-14 04:00:00,69.11,68.26,69.33,68.042,3548679.0
2024-05-15 04:00:00,71.64,70.1,71.79,69.85,4514858.0
2024-05-16 04:00:00,71.16,71.64,72.3001,71.1,3280618.0
2024-05-17 04:00:00,71.44,71.17,71.465,70.58,2852357.0
2024-05-20 04:00:00,71.65,71.45,72.265,71.29,2674127.0
2024-05-21 04:00:00,72.14,71.3,72.22,71.24,2209964.0
2024-05-22 04:00:00,71.48,71.85,72.13,70.6,3882346.0
2024-05-23 04:00:00,69.82,72.68,72.72,69.33,6521619.0
2024-05-24 04:00:00,71.21,70.59,71.53,70.18,4314877.0
2024-05-28 04:00:00,71.34,71.52,71.6,70.24,3831488.0
2024-05-29 04:00:00,69.8,69.61,70.29,69.51,3799462.0
2024-05-30 04:00:00,68.37,69.15,69.42,67.89,4031034.0
2024-05-31 04:00:00,70.17,68.7,70.26,66.65,6663739.0
2024-06-03 04:00:00,70.34,70.84,70.88,68.2601,6767853.0
2024-06-04 04:00:00,70.52,69.8,70.85,69.17,4973064.0
2024-06-05 04:00:00,73.02,71.49,73.05,70.65,4374192.0
2024-06-06 04:00:00,72.99,73.17,73.33,72.21,3182219.0
2024-06-07 04:00:00,72.64,72.55,73.86,72.07,4625549.0
2024-06-10 04:00:00,73.3,72.3,73.45,72.05,2621586.0
2024-06-11 04:00:00,73.8,72.67,73.85,71.8193,2731188.0
2024-06-12 04:00:00,75.6,75.73,76.75,75.19,6023677.0
2024-06-13 04:00:00,76.07,76.35,76.41,74.865,2707575.0
2024-06-14 04:00:00,76.08,75.34,76.13,74.8865,2770184.0
2024-06-17 04:00:00,77.87,75.8,78.47,75.5903,3222992.0
2024-06-18 04:00:00,78.44,77.89,78.5099,77.71,2504658.0
2024-06-20 04:00:00,77.75,78.84,79.12,77.02,3855644.0
2024-06-21 04:00:00,77.2,77.35,77.88,76.78,3249080.0
2024-06-24 04:00:00,76.59,77.28,78.405,76.57,3760367.0
2024-06-25 04:00:00,77.44,77.12,77.63,76.47,2583912.0
2024-06-26 04:00:00,77.53,76.73,77.805,76.45,2263041.0
2024-06-27 04:00:00,77.82,77.41,78.1,77.1,2527686.0
2024-06-28 04:00:00,76.84,78.11,79.435,76.31,5324293.0
2024-07-01 04:00:00,77.28,77.42,77.51,76.11,3265326.0
2024-07-02 04:00:00,78.79,76.6,78.82,76.55,2927249.0
2024-07-03 04:00:00,79.78,78.63,79.975,78.62,1889730.0
2024-07-05 04:00:00,81.12,79.9,81.31,79.6,3205705.0
2024-07-08 04:00:00,81.37,81.48,81.8,80.89,2528268.0
2024-07-09 04:00:00,81.57,81.77,82.17,81.4599,2145212.0
2024-07-10 04:00:00,83.92,82.11,84.13,81.98,2500498.0
2024-07-11 04:00:00,81.76,84.01,84.4,81.48,5672089.0
2024-07-12 04:00:00,83.22,82.21,84.87,82.05,4657197.0
2024-07-15 04:00:00,83.9,84.12,85.36,83.0569,8540479.0
2024-07-16 04:00:00,85.37,84.47,85.48,84.12,3117414.0
2024-07-17 04:00:00,81.73,82.56,83.35,81.59,4552406.0
2024-07-18 04:00:00,79.79,82.4,82.84,78.85,5761772.0
2024-07-19 04:00:00,78.11,79.61,80.34,77.68,4254657.0
2024-07-22 04:00:00,80.54,79.83,80.79,78.98,5229221.0
2024-07-23 04:00:00,80.12,80.46,81.415,79.91,3713521.0
2024-07-24 04:00:00,74.64,77.93,78.0894,74.23,7665348.0
2024-07-25 04:00:00,73.42,74.65,77.1811,73.06,9370556.0
2024-07-26 04:00:00,75.84,74.95,76.9599,74.6301,5798001.0
